task,edge_sparsity,kl_divergence,prob_diff,prob_diff_10,kendalls_tau,logit_difference,accuracy,exact_match,filepath
gp,0.9363415241241455,0.03934011350893391,,,,1.2879662488503432,0.0,0.9126984126984127,acdc_gp_t0.000005_3196025.out
gp,0.9582787156105042,0.049966660387340996,,,,1.2055049270549147,0.0,0.8994708994708994,acdc_gp_t0.00001_3196023.out
gp,0.9854896068572998,0.08715406602504787,,,,0.9548579422885148,0.0,0.8783068783068783,acdc_gp_t0.00005_3196021.out
gp,0.9899207353591919,0.09451474243203405,,,,0.6939604824812955,0.0,0.873015873015873,eval_acdc_gp-t0.0001_3195985.out
gp,0.9933220744132996,0.10856606179808892,,,,0.37768209548223586,0.0,0.8650793650793651,eval_acdc_gp-t0.00019306977288832496_3195984.out
gp,0.9952568411827087,0.11555754177755227,,,,0.2465942625015501,0.0,0.8756613756613757,eval_acdc_gp-t0.0003727593720314938_3195986.out
gt,0.9585907459259033,0.027305553105775676,0.5490522307800312,0.33573283456978115,0.9237576582774107,,,,acdc_gt_t0.00005_3196020.out
gt,0.9729763269424438,0.03940927552391392,0.5705925973168775,0.3403200406074414,0.918097664307659,,,,eval_acdc_gt-t0.0001_3196504.out
gt,0.9848343133926392,0.061924763609904565,0.5280017561723593,0.321539990266852,0.8968419262350623,,,,eval_acdc_gt-t0.0003_3196505.out
gt,0.9913561940193176,0.13115617938555096,0.48733832181912234,0.30365622950751286,0.8533915366197669,,,,eval_acdc_gt-t0.001_3195975.out
gt,0.994507908821106,0.28605751967370013,0.39215278128295944,0.2614699882983224,0.7770477912006076,,,,eval_acdc_gt-t0.002_3195976.out
ioi,0.9569368958473206,0.32466380871988676,,,,2.4104569787897723,0.7023888704134796,0.7333998448065625,eval_acdc_ioi-t0.001_3195997.out
ioi,0.9715096950531006,0.47311225391526085,,,,2.0518306410374763,0.5729686287551269,0.6275357499168607,eval_acdc_ioi-t0.003_3195998.out
ioi,0.9776571393013,0.8104285447765461,,,,0.25682581582390246,0.35960536525884046,0.41871743709123155,eval_acdc_ioi-t0.005_3195999.out
ioi,0.9843038320541382,1.1654854258346885,,,,-0.0187683268273145,0.17362265824188006,0.26571333555038246,eval_acdc_ioi-t0.01_3196001.out
ioi,0.9906384348869324,1.8836183584512118,,,,-2.1129283852170726,0.007815098104423013,0.13172043010752688,eval_acdc_ioi-t0.016378937069540637_3196000.out
ioi,0.9953816533088684,2.274990271199187,,,,-1.9947345767683498,0.0002494180246092451,0.1319975612459816,eval_acdc_ioi-t0.02682695795279726_3196002.out
ioi_t1,0.9223928451538086,0.07174672229215502,,,,3.393134994506836,0.94,0.96,acdc_ioi_t1_t0.00005_3196031.out
ioi_t1,0.9469200372695923,0.09368533723056316,,,,3.5242909240722655,0.96,0.98,acdc_ioi_t1_t0.0001_3196030.out
ioi_t1,0.9673594236373901,0.14835239736363293,,,,3.3955039978027344,0.92,0.94,acdc_ioi_t1_t0.0003_3196029.out
ioi_t1,0.9734132289886475,0.21850920762866735,,,,3.0202561950683595,0.94,0.96,acdc_ioi_t1_t0.0005_3196028.out
ioi_t1,0.9799662828445435,0.2943049957603216,,,,2.962176971435547,0.82,0.84,eval_acdc_ioi_t1-t0.001_3196009.out
ioi_t1,0.9854896068572998,0.3939127297699451,,,,3.08775146484375,0.84,0.86,eval_acdc_ioi_t1-t0.002_3196010.out
ioi_t1,0.9882044792175293,0.4478722694516182,,,,3.0507332611083986,0.8,0.82,eval_acdc_ioi_t1-t0.003_3196011.out
ioi_t1,0.9902327656745911,0.519935203641653,,,,3.058666763305664,0.74,0.74,eval_acdc_ioi_t1-t0.005_3196012.out
